date_bs,date_ad,day,metal,source_category,price_per_10g_source,price_per_tola_source,price_per_gram_calculated,price_per_kg_calculated,source_type,source_document_id,source_url,verification_status
,2026-09-25,Friday,silver,Silver,39610.0,46201.1,3961.0,3961000.0,fenegosida_api,FEN-API-2026-09-25,https://api.fenegosida.org/,verified
,2026-09-25,Friday,gold,Silver,2560000.0,2985984.0,256000.0,256000000.0,fenegosida_api,FEN-API-2026-09-25,https://api.fenegosida.org/,verified
,2026-09-24,Thursday,silver,Silver,39865.0,46498.54,3986.5,3986500.0,fenegosida_api,FEN-API-2026-09-24,https://api.fenegosida.org/,verified
,2026-09-24,Thursday,gold,Silver,2564300.0,2990999.52,256430.0,256430000.0,fenegosida_api,FEN-API-2026-09-24,https://api.fenegosida.org/,verified
,2026-09-23,Wednesday,silver,Silver,41280.0,48148.99,4128.0,4128000.0,fenegosida_api,FEN-API-2026-09-23,https://api.fenegosida.org/,verified
,2026-09-23,Wednesday,gold,Silver,2591750.0,3023017.2,259175.0,259175000.0,fenegosida_api,FEN-API-2026-09-23,https://api.fenegosida.org/,verified
,2026-09-22,Tuesday,silver,Silver,40940.0,47752.42,4094.0,4094000.0,fenegosida_api,FEN-API-2026-09-22,https://api.fenegosida.org/,verified
,2026-09-22,Tuesday,gold,Silver,2590900.0,3022025.76,259090.0,259090000.0,fenegosida_api,FEN-API-2026-09-22,https://api.fenegosida.org/,verified
,2026-09-21,Monday,silver,Silver,41195.0,48049.85,4119.5,4119500.0,fenegosida_api,FEN-API-2026-09-21,https://api.fenegosida.org/,verified
,2026-09-21,Monday,gold,Silver,2605450.0,3038996.88,260545.0,260545000.0,fenegosida_api,FEN-API-2026-09-21,https://api.fenegosida.org/,verified
,2026-09-20,Sunday,silver,Silver,41110.0,47950.7,4111.0,4111000.0,fenegosida_api,FEN-API-2026-09-20,https://api.fenegosida.org/,verified
,2026-09-20,Sunday,gold,Silver,2616600.0,3052002.24,261660.0,261660000.0,fenegosida_api,FEN-API-2026-09-20,https://api.fenegosida.org/,verified
,2026-09-18,Friday,silver,Silver,40940.0,47752.42,4094.0,4094000.0,fenegosida_api,FEN-API-2026-09-18,https://api.fenegosida.org/,verified
,2026-09-18,Friday,gold,Silver,2598600.0,3031007.04,259860.0,259860000.0,fenegosida_api,FEN-API-2026-09-18,https://api.fenegosida.org/,verified
,2026-09-17,Thursday,silver,Silver,39650.0,46247.76,3965.0,3965000.0,fenegosida_api,FEN-API-2026-09-17,https://api.fenegosida.org/,verified
,2026-09-17,Thursday,gold,Silver,2567750.0,2995023.6,256775.0,256775000.0,fenegosida_api,FEN-API-2026-09-17,https://api.fenegosida.org/,verified
,2026-09-16,Wednesday,silver,Silver,40165.0,46848.46,4016.5,4016500.0,fenegosida_api,FEN-API-2026-09-16,https://api.fenegosida.org/,verified
,2026-09-16,Wednesday,gold,Silver,2587450.0,3018001.68,258745.0,258745000.0,fenegosida_api,FEN-API-2026-09-16,https://api.fenegosida.org/,verified
,2026-09-15,Tuesday,silver,Silver,39440.0,46002.82,3944.0,3944000.0,fenegosida_api,FEN-API-2026-09-15,https://api.fenegosida.org/,verified
,2026-09-15,Tuesday,gold,Silver,2572900.0,3001030.56,257290.0,257290000.0,fenegosida_api,FEN-API-2026-09-15,https://api.fenegosida.org/,verified
,2026-09-14,Monday,silver,Silver,39610.0,46201.1,3961.0,3961000.0,fenegosida_api,FEN-API-2026-09-14,https://api.fenegosida.org/,verified
,2026-09-14,Monday,gold,Silver,2580600.0,3010011.84,258060.0,258060000.0,fenegosida_api,FEN-API-2026-09-14,https://api.fenegosida.org/,verified
,2026-09-13,Sunday,silver,Silver,39955.0,46603.51,3995.5,3995500.0,fenegosida_api,FEN-API-2026-09-13,https://api.fenegosida.org/,verified
,2026-09-13,Sunday,gold,Silver,2590900.0,3022025.76,259090.0,259090000.0,fenegosida_api,FEN-API-2026-09-13,https://api.fenegosida.org/,verified
,2026-09-11,Friday,silver,Silver,39440.0,46002.82,3944.0,3944000.0,fenegosida_api,FEN-API-2026-09-11,https://api.fenegosida.org/,verified
,2026-09-11,Friday,gold,Silver,2580600.0,3010011.84,258060.0,258060000.0,fenegosida_api,FEN-API-2026-09-11,https://api.fenegosida.org/,verified
,2026-09-10,Thursday,silver,Silver,41625.0,48551.4,4162.5,4162500.0,fenegosida_api,FEN-API-2026-09-10,https://api.fenegosida.org/,verified
,2026-09-10,Thursday,gold,Silver,2621750.0,3058009.2,262175.0,262175000.0,fenegosida_api,FEN-API-2026-09-10,https://api.fenegosida.org/,verified
,2026-09-09,Wednesday,silver,Silver,40725.0,47501.64,4072.5,4072500.0,fenegosida_api,FEN-API-2026-09-09,https://api.fenegosida.org/,verified
,2026-09-09,Wednesday,gold,Silver,2592600.0,3024008.64,259260.0,259260000.0,fenegosida_api,FEN-API-2026-09-09,https://api.fenegosida.org/,verified
,2026-09-08,Tuesday,silver,Silver,41065.0,47898.22,4106.5,4106500.0,fenegosida_api,FEN-API-2026-09-08,https://api.fenegosida.org/,verified
,2026-09-08,Tuesday,gold,Silver,2618300.0,3053985.12,261830.0,261830000.0,fenegosida_api,FEN-API-2026-09-08,https://api.fenegosida.org/,verified
,2026-09-07,Monday,silver,Silver,40210.0,46900.94,4021.0,4021000.0,fenegosida_api,FEN-API-2026-09-07,https://api.fenegosida.org/,verified
,2026-09-07,Monday,gold,Silver,2588300.0,3018993.12,258830.0,258830000.0,fenegosida_api,FEN-API-2026-09-07,https://api.fenegosida.org/,verified
,2026-09-06,Sunday,silver,Silver,40510.0,47250.86,4051.0,4051000.0,fenegosida_api,FEN-API-2026-09-06,https://api.fenegosida.org/,verified
,2026-09-06,Sunday,gold,Silver,2608900.0,3043020.96,260890.0,260890000.0,fenegosida_api,FEN-API-2026-09-06,https://api.fenegosida.org/,verified
,2026-09-04,Friday,silver,Silver,40850.0,47647.44,4085.0,4085000.0,fenegosida_api,FEN-API-2026-09-04,https://api.fenegosida.org/,verified
,2026-09-04,Friday,gold,Silver,2635450.0,3073988.88,263545.0,263545000.0,fenegosida_api,FEN-API-2026-09-04,https://api.fenegosida.org/,verified
,2026-09-03,Thursday,silver,Silver,40510.0,47250.86,4051.0,4051000.0,fenegosida_api,FEN-API-2026-09-03,https://api.fenegosida.org/,verified
,2026-09-03,Thursday,gold,Silver,2614050.0,3049027.92,261405.0,261405000.0,fenegosida_api,FEN-API-2026-09-03,https://api.fenegosida.org/,verified
,2026-09-02,Wednesday,silver,Silver,39265.0,45798.7,3926.5,3926500.0,fenegosida_api,FEN-API-2026-09-02,https://api.fenegosida.org/,verified
,2026-09-02,Wednesday,gold,Silver,2548850.0,2972978.64,254885.0,254885000.0,fenegosida_api,FEN-API-2026-09-02,https://api.fenegosida.org/,verified
,2026-09-01,Tuesday,silver,Silver,40855.0,47653.27,4085.5,4085500.0,fenegosida_api,FEN-API-2026-09-01,https://api.fenegosida.org/,verified
,2026-09-01,Tuesday,gold,Silver,2624300.0,3060983.52,262430.0,262430000.0,fenegosida_api,FEN-API-2026-09-01,https://api.fenegosida.org/,verified
,2026-08-31,Monday,silver,Silver,40980.0,47799.07,4098.0,4098000.0,fenegosida_api,FEN-API-2026-08-31,https://api.fenegosida.org/,verified
,2026-08-31,Monday,gold,Silver,2628600.0,3065999.04,262860.0,262860000.0,fenegosida_api,FEN-API-2026-08-31,https://api.fenegosida.org/,verified
2081/11/23,2025-03-07,Friday,gold,Gold,145920.0,170200.0,14592.0,14592000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/23,2025-03-07,Friday,silver,Silver,1706.0,1990.0,170.6,170600.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/22,2025-03-06,Thursday,gold,Gold,146350.0,170700.0,14635.0,14635000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/22,2025-03-06,Thursday,silver,Silver,1702.0,1985.0,170.2,170200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/21,2025-03-05,Wednesday,gold,Gold,146090.0,170400.0,14609.0,14609000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/21,2025-03-05,Wednesday,silver,Silver,1672.0,1950.0,167.2,167200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/20,2025-03-04,Tuesday,gold,Gold,145320.0,169500.0,14532.0,14532000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/20,2025-03-04,Tuesday,silver,Silver,1663.5,1940.0,166.35,166350.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/19,2025-03-03,Monday,gold,Gold,144120.0,168100.0,14412.0,14412000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/19,2025-03-03,Monday,silver,Silver,1642.0,1915.0,164.2,164200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/18,2025-03-02,Sunday,gold,Gold,144120.0,168100.0,14412.0,14412000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/18,2025-03-02,Sunday,silver,Silver,1642.0,1915.0,164.2,164200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/02/25,2024-06-07,Friday,gold,Gold,124315.0,145000.0,12431.5,12431500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/25,2024-06-07,Friday,silver,Silver,1629.0,1900.0,162.9,162900.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/24,2024-06-06,Thursday,gold,Gold,123455.0,144000.0,12345.5,12345500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
